taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Genus:uncultured_1,-1.254063358,0.104236186,0.856143702,-0.715412703,0.179907593,NA,NA,0.489555428,-6.970597165,NA,NA,-1.461351794,2.35E-08,1,1,0.151929898,7.27E-08,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA
Genus:Erysipelatoclostridium,-1.350861525,-0.797866699,1.561476538,-0.150425808,0.145673577,NA,NA,0.516449011,-9.273208986,NA,NA,-0.291269429,1.28E-11,1,1,0.77231379,6.22E-11,1,1,0.90547134,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:Acetatifactor,-1.991981304,0.030015921,2.239571323,-0.108836531,0.126770378,NA,NA,0.437225884,-15.71330252,NA,NA,-0.248925178,1.83E-14,1,1,0.805452332,1.04E-13,1,1,0.912845976,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:[Eubacterium]_coprostanoligenes_group,-0.359441001,-0.69723573,-0.87857509,0.741044365,0.155857061,NA,NA,0.616673572,-2.306222113,NA,NA,1.201680109,0.026965662,1,1,0.237333314,0.03395676,1,1,0.594646806,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Turicibacter,-1.257258952,-0.429698163,1.846785165,-1.83276703,0.606735856,NA,NA,1.26655407,-2.072168538,NA,NA,-1.447049971,0.044578438,1,1,0.155485987,0.054130961,1,1,0.584080535,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Anaerotruncus,-2.341270216,-0.624517496,3.224254881,-0.543051548,0.051033141,NA,NA,0.392841119,-45.8774467,NA,NA,-1.382369418,2.91E-19,1,1,0.184751624,4.95E-18,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
Genus:Lactococcus,-2.977060543,-0.429951029,4.493169867,-0.33008216,0.154062917,NA,NA,0.451321174,-19.32366726,NA,NA,-0.731368653,3.31E-22,1,1,0.468713652,1.12E-20,1,1,0.719612024,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Tuzzerella,-1.736177417,-0.541970986,1.979028176,0.256678605,0.250222766,NA,NA,0.557992151,-6.938527003,NA,NA,0.46000397,1.53E-07,1,1,0.649065593,3.99E-07,1,1,0.848778084,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:[Eubacterium]_nodatum_group,-1.125345705,-1.154943945,1.204372465,0.364189282,0.140260601,NA,NA,0.520304248,-8.023248823,NA,NA,0.699954465,1.06E-09,1,1,0.488219032,3.61E-09,1,1,0.719612024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Clostridium_sensu_stricto_1,-2.467981355,2.254482595,1.317213008,-1.223195169,0.088298512,NA,NA,0.716733135,-27.9504298,NA,NA,-1.706625672,7.98E-11,1,1,0.118699204,3.39E-10,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Genus:Lachnospiraceae_UCG-001,-0.584210956,0.221706023,-5.342179975,NA,0.374770685,NA,NA,NA,-1.55884913,NA,NA,NA,0.143036064,1,1,1,0.156878264,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Oscillibacter,-0.922254867,-0.652516946,0.611492048,-0.178979051,0.180847481,NA,NA,0.518730469,-5.099627934,NA,NA,-0.345032847,8.61E-06,1,1,0.731877458,1.72E-05,1,1,0.888708342,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:Clostridia_UCG-014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Genus:GCA-900066575,-2.06571326,0.002889924,0.845586225,0.741420991,0.032030743,NA,NA,0.474412753,-64.49158193,NA,NA,1.562818425,8.21E-06,1,1,0.216034768,1.72E-05,1,1,0.594646806,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
