taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Genus:Blautia,-0.019034559570062632,-0.7373824806116701,0.2983617170296803,0.4823673849076305,0.1813601025349655,NA,NA,0.45595373201412764,-0.10495450379662663,NA,NA,1.0579305553149512,0.9169236944950898,1,1,0.29628060492113073,0.9780519407947624,1,1,0.8278997861878211,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Genus:Lachnospiraceae_UCG-006,-0.37112437105689833,-0.4171533810505089,0.20809840397262752,0.4562322442929789,0.15183001931100482,NA,NA,0.4968086161519651,-2.4443411964316257,NA,NA,0.9183259497927576,0.020021181278410457,1,1,0.3651119105126248,0.0344106282653377,1,1,0.898737010492615,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Genus:Intestinimonas,0.4184832402747096,-0.6075867961598781,-0.5061592010941551,0.22050354881204415,0.0963341139665961,NA,NA,0.3608577987379886,4.344081478964128,NA,NA,0.6110538544080274,1.1954577941988236e-4,1,1,0.5452278225129918,4.250516601595817e-4,1,1,0.9867925583727195,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Mucispirillum,0.6880764340984106,-0.9701664336857838,-1.3677960643398428,1.5178307731780065,0.4266513302413811,NA,NA,0.8168510070096608,1.6127371118452305,NA,NA,1.858148866994119,0.11447358805284588,1,1,0.07033822535000914,0.17443594369957466,1,1,0.3605249805882661,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:[Eubacterium]_xylanophilum_group,1.9598546650195336,-0.5138339291347696,-5.2855685254400875,0.3093544631272175,0.11188135997671933,NA,NA,0.41264992333441264,17.51725815120005,NA,NA,0.7496777428855009,6.486090825449281e-16,1,1,0.460178897942751,8.038196893456813e-15,1,1,0.9867925583727195,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Akkermansia,-0.4155818510027394,-0.20417024249232585,1.0063761412093055,-0.3937381280166581,0.5571672092953237,NA,NA,1.060295566201105,-0.7458835410079963,NA,NA,-0.3713475190954238,0.45999305143044533,1,1,0.7122908414504612,0.5257063444919375,1,1,0.9937529749877733,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:uncultured_1,0.4526233436528449,-0.7770836866892451,-0.6670974800996922,0.6473384045961582,0.16698495635545046,NA,NA,0.4195051756173399,2.710563595258089,NA,NA,1.5430999239605114,0.009763911394637018,1,1,0.1304906124282108,0.018379127331081446,1,1,0.4783666715253546,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
Genus:Erysipelatoclostridium,0.18455248640978564,-0.6775361646266589,0.1573973284537006,-0.16999704850426642,0.18834931145046058,NA,NA,0.48220233435206195,0.9798415772723779,NA,NA,-0.352542981221135,0.33291099388866807,1,1,0.7262370006824823,0.45865910432850754,1,1,0.9937529749877733,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Genus:Acetatifactor,-0.12680084629550303,-0.7879414436350001,0.29390268496399485,1.079348690675474,0.11347919613987995,NA,NA,0.42310769654703695,-1.117392884412066,NA,NA,2.551002261324931,0.27488777849908425,1,1,0.017536737339201837,0.3998367687259407,1,1,0.19186841176353156,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:[Clostridium]_innocuum_group,0.6848390198099327,-0.4253998170257488,-0.969500018192994,-0.370062669157073,0.24286372629362804,NA,NA,0.6731878320297634,2.819848934467661,NA,NA,-0.5497168123809931,0.0077642671797211625,1,1,0.5859080815338022,0.015528534359442325,1,1,0.9867925583727195,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Genus:Turicibacter,0.39566706155695514,0.4190936502388709,-0.39483405281568923,-1.8483084922492645,0.5209071463137525,NA,NA,1.208814685730922,0.7595731107874593,NA,NA,-1.5290255107478827,0.4521964416238232,1,1,0.134540626366506,0.5257063444919375,1,1,0.4783666715253546,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Anaerotruncus,-1.5425589522483185,0.1757877660198185,1.6857475946998768,-0.7121529569095848,0.027738536779141423,NA,NA,0.35888015295665426,-55.610682154232386,NA,NA,-1.984375427402359,7.535809587615763e-16,1,1,0.07056103104179867,8.038196893456813e-15,1,1,0.3605249805882661,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:[Eubacterium]_coprostanoligenes_group,0.769136603897862,-0.18064284900834077,-1.1635831622497887,-0.5135763497790626,0.31475466652531536,NA,NA,0.49807606035492247,2.4436066743302796,NA,NA,-1.0311203261066089,0.020431310532544263,1,1,0.31046241982043293,0.0344106282653377,1,1,0.8278997861878211,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Lactococcus,-1.1683324372796677,-0.5290664032438703,2.614091085072566,-0.05563339625400182,0.15342773012976918,NA,NA,0.5029634172294322,-7.614871420515001,NA,NA,-0.11061121812886056,2.2642580860798974e-9,1,1,0.9124643394052969,1.2076043125759452e-8,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Tuzzerella,0.10903566352863112,-0.8059730578300117,-0.17676842840869375,1.359638469404536,0.1357719233783724,NA,NA,0.5421112207280645,0.8030796118632565,NA,NA,2.5080434003533787,0.42846199878553715,1,1,0.017987663602831085,0.5257063444919375,1,1,0.19186841176353156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Genus:[Eubacterium]_nodatum_group,0.1524265276576539,-0.4162024458690399,-0.061388914505737906,-0.17880122556321765,0.1590676632725366,NA,NA,0.5950209719951383,0.9582496185695254,NA,NA,-0.3004956698646894,0.34399432824638065,1,1,0.7654370246677111,0.45865910432850754,1,1,0.9937529749877733,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Genus:Clostridium_sensu_stricto_1,0.6459973870345551,1.7873482346055911,-1.4378674471481565,-2.368335757122437,0.1822637841885619,NA,NA,0.7200962421554137,3.5442992139691083,NA,NA,-3.288915589995947,0.004597864113187827,1,1,0.00721860749412702,0.010509403687286463,1,1,0.19186841176353156,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Lachnospiraceae_UCG-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Oscillibacter,0.4780263099374009,-0.42442927244575035,-0.7763364500026806,0.13436694160631274,0.13154397155652156,NA,NA,0.4698477539826962,3.6339659224292427,NA,NA,0.28597974656118347,7.863849785053695e-4,1,1,0.7763695117091979,0.002097026609347652,1,1,0.9937529749877733,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Clostridia_UCG-014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Lachnoclostridium,-0.47723896421726875,-0.32565120610655607,0.29162859072145336,0.06886500788009972,0.07309763528030964,NA,NA,0.3831240194299414,-6.5287880023366895,NA,NA,0.17974599447605888,3.212823230412213e-7,1,1,0.8585605851793776,1.2851292921648853e-6,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Colidextribacter,0.13536364363913522,-0.38931412175939883,-0.18031219247905833,0.2861438320172754,0.1688122601501898,NA,NA,0.4431656526372267,0.8018590801325933,NA,NA,0.6456814293130957,0.42737267455546213,1,1,0.5221726943450862,0.5257063444919375,1,1,0.9867925583727195,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
